instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_overlap,ecs_random,ecs_lift,ecs_random_weighted,ecs_lift_weighted,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,ecs_adj,ecs_adj_er,ecs_adj_ep,ecs_adj_rp,ecs_adj_n_components,ecs_adj_complete,n_degenerate_pairs,cf_flip_verified,cf_valid_first_attempt,cf_corrected,ro_self_corrected,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_000665,sst2,eu.amazon.nova-pro-v1:0,positive,negative,0.85,False,False,1133,398,3c96c3fc1045fafc,0.25,0.3333333333333333,0.6,0.25,0.0,0.3333333333333333,1.0,0.5,0.75,1.0,0.0,0.5,0.23804099999999995,,,0.2333333333333333,0.6,0.17251333333333438,0.06081999999999893,0.174230000000001,0.059103333333332314,0.125,0.3333333333333333,4,0.41755269539265055,0.16666666666666663,0.08599141951128521,1.0,3,True,0,True,True,False,False,positive,True,True,True,True,2,0
sst2_validation_000657,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,963,285,b68aba988a2aa373,0.6,,0.5,,0.3333333333333333,,1.0,,0.6666666666666666,,0.6666666666666666,,0.29304099999999994,,,0.4666666666666667,0.8333333333333333,0.28805000000000236,0.17861666666666431,0.3873523809523891,0.07931428571427757,0.4666666666666667,,2,0.5817923186344238,0.5817923186344238,,,1,False,0,False,False,False,False,,True,True,False,True,2,2
sst2_validation_000361,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1358,433,53ae850b6f80a8dd,0.3,0.8,1.0,0.2727272727272727,0.3,0.8,0.75,1.0,1.0,0.6,0.75,1.0,0.2719,0.0,0.5,0.4945454545454545,0.82,0.32781387806637485,0.16673157647907966,0.3327983225108197,0.1617471320346348,0.3,0.8,4,-0.16300769999412212,-0.4135514018691588,1.0,-1.0754716981132075,3,True,0,True,True,False,True,positive,True,True,True,True,4,3
sst2_validation_000394,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,1444,588,67a8763d00facc6b,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.2,0.4,0.5,1.0,0.5,0.6,0.5,1.0,0.75,0.31734154285714283,,,0.3215873015873016,0.75,0.12254265873015893,0.19904464285714266,0.12893825396825404,0.19264904761904755,0.34285714285714286,0.3611111111111111,4,0.5300998582753104,1.0,0.32705719922400467,0.2632423756019262,3,True,0,True,True,False,False,negative,True,True,True,True,3,1
sst2_validation_000228,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,949,308,121db9f475afa812,0.6666666666666666,,0.5,,0.6666666666666666,,1.0,,0.6666666666666666,,1.0,,0.19304099999999996,,,0.6666666666666666,1.0,0.20264583333333386,0.46402083333333277,0.21272916666666725,0.4539374999999994,0.6666666666666666,,2,1.0,1.0,,,1,False,0,False,False,False,False,,True,True,False,True,2,2
sst2_validation_000188,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,975,322,6c16dd54d427ba05,0.6666666666666666,,1.0,,0.6666666666666666,,1.0,,1.0,,1.0,,0.36504099999999995,,,0.6666666666666666,1.0,0.1798333333333335,0.4868333333333331,0.18762500000000035,0.47904166666666625,0.6666666666666666,,2,1.0,1.0,,,1,False,0,False,False,False,False,,True,True,False,True,2,2
sst2_validation_000513,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.8,True,False,1356,495,66ffc0207e802d03,,0.1,0.2222222222222222,,,0.42857142857142855,,0.2,0.4,,,0.6,0.10937699999999999,,,0.2642857142857143,0.4,0.21011994047619123,0.05416577380952306,0.21011150793650873,0.054174206349205556,,0.2642857142857143,2,0.04698025420359066,,0.04698025420359066,,1,False,0,True,True,False,False,positive,True,False,True,True,1,1
sst2_validation_000010,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,952,330,d9ae1018167dba5e,0.4,,0.5,,0.16666666666666666,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,,0.31981599999999993,,,0.2833333333333333,0.5,0.29554583333332946,-0.01221249999999613,0.3014499999999958,-0.01811666666666245,0.2833333333333333,,2,-0.028871391076115596,-0.028871391076115596,,,1,False,0,False,False,False,False,,True,True,False,True,1,1
sst2_validation_000529,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1165,439,b04c96a0a49e1956,0.4444444444444444,0.4444444444444444,0.6666666666666666,1.0,0.625,0.625,0.8,0.8,0.8,1.0,1.0,1.0,0.3511629999999999,0.6666666666666669,0.8333333333333335,0.6277777777777778,0.9199999999999999,0.2695871173271225,0.3581906604506553,0.27444328005328533,0.35333449772449244,0.5347222222222222,0.5347222222222222,4,0.8400873970976593,0.7601310956464891,0.7601310956464891,1.0,3,True,0,True,True,False,False,positive,True,True,True,True,5,4
sst2_validation_000007,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.9,True,False,1466,350,bed5ce4a26311b72,0.2,,1.0,,0.2,,0.3333333333333333,,1.0,,0.3333333333333333,,0.225675,,,0.2,0.3333333333333333,0.3629500000000034,-0.16295000000000337,0.65,-0.45,0.2,,2,-0.2598425196850394,-0.2598425196850394,,,1,False,0,False,False,False,True,negative,True,True,False,True,1,1
