instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_overlap,ecs_random,ecs_lift,ecs_random_weighted,ecs_lift_weighted,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,cf_flip_verified,cf_valid_first_attempt,cf_corrected,ro_self_corrected,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_000665,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,1541,566,3c96c3fc1045fafc,0.5,,0.6,,0.5,,1.0,,0.75,,1.0,,0.3380409999999999,,,0.5,1.0,0.07957499999999976,0.42042500000000027,0.18144999999999645,0.31855000000000355,0.5,,2,False,False,False,False,,True,True,False,True,2,2
sst2_validation_000657,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,955,284,b68aba988a2aa373,0.6,,1.0,,0.6,,1.0,,1.0,,1.0,,0.32004099999999996,,,0.6,1.0,0.2508761904761923,0.34912380952380767,0.3904285714285797,0.2095714285714203,0.6,,2,False,False,False,False,,True,True,False,True,3,3
sst2_validation_000361,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1302,416,53ae850b6f80a8dd,0.3333333333333333,,0.4,,0.375,,0.75,,0.6666666666666666,,1.0,,0.23544999999999994,,,0.35416666666666663,0.875,0.16585890151514954,0.1883077651515171,0.29586256313131587,0.05830410353535076,0.35416666666666663,,2,False,False,False,True,,True,True,False,True,2,2
sst2_validation_000394,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,1363,566,67a8763d00facc6b,0.2857142857142857,,0.42857142857142855,,0.6666666666666666,,1.0,,1.0,,1.0,,0.31734154285714283,,,0.47619047619047616,1.0,0.05908333333333342,0.41710714285714273,0.0980520833333332,0.37813839285714296,0.47619047619047616,,2,False,False,False,False,,True,True,False,True,2,2
sst2_validation_000228,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,941,299,121db9f475afa812,0.25,,0.5,,0.25,,0.5,,0.6666666666666666,,0.5,,0.09044999999999999,,,0.25,0.5,0.10368749999999993,0.14631250000000007,0.210083333333334,0.03991666666666599,0.25,,2,False,False,False,False,,True,True,False,True,1,1
sst2_validation_000188,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1205,359,6c16dd54d427ba05,0.6666666666666666,,1.0,,0.6666666666666666,,1.0,,1.0,,1.0,,0.32567499999999994,,,0.6666666666666666,1.0,0.09727083333333328,0.5693958333333333,0.18762500000000035,0.47904166666666625,0.6666666666666666,,2,False,False,False,True,,True,True,False,True,2,2
sst2_validation_000513,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.8,True,False,1286,485,66ffc0207e802d03,,,0.375,,,,,,0.6,,,,0.1593405,,,,,,,,,,,0,False,False,False,False,,True,False,False,True,0,0
sst2_validation_000010,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,942,323,d9ae1018167dba5e,0.2,,0.5,,0.0,,0.3333333333333333,,0.6666666666666666,,0.0,,0.3380409999999999,,,0.1,0.16666666666666666,0.18054999999999657,-0.08054999999999657,0.2701999999999966,-0.1701999999999966,0.1,,2,False,False,False,False,,True,True,False,True,0,0
sst2_validation_000529,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1109,430,b04c96a0a49e1956,0.4444444444444444,,0.6666666666666666,,0.625,,0.8,,0.8,,1.0,,0.3329379999999999,0.6666666666666669,0.8333333333333335,0.5347222222222222,0.9,0.18252998737373988,0.35219223484848233,0.25381237373737847,0.28090984848484374,0.5347222222222222,,2,False,False,False,False,,True,True,False,True,4,4
sst2_validation_000007,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1120,265,bed5ce4a26311b72,0.2,,1.0,,0.2,,0.3333333333333333,,1.0,,0.3333333333333333,,0.17099999999999996,,,0.2,0.3333333333333333,0.2236999999999958,-0.02369999999999578,0.65,-0.45,0.2,,2,False,False,False,True,,True,True,False,True,1,1
sst2_validation_000665,sst2,qwen.qwen3-235b-a22b-2507-v1:0,positive,positive,0.95,True,False,1142,298,3c96c3fc1045fafc,0.2,,0.6,,0.5,,0.5,,0.75,,1.0,,0.3511629999999999,0.6666666666666669,0.8333333333333335,0.35,0.75,0.07957499999999976,0.27042500000000025,0.1832499999999964,0.1667500000000036,0.35,,2,False,False,False,False,,True,True,False,True,1,1
sst2_validation_000657,sst2,qwen.qwen3-235b-a22b-2507-v1:0,negative,negative,0.98,True,False,1015,236,b68aba988a2aa373,0.6,,1.0,,0.6,,1.0,,1.0,,1.0,,0.32567499999999994,,,0.6,1.0,0.2508761904761923,0.34912380952380767,0.4112476190476291,0.1887523809523709,0.6,,2,False,False,False,False,,True,True,False,True,3,3
